operation,timestamp,datetime,cpu_percent,memory_mb,execution_time_ms
register_euicc,1749701778.8960373,2025-06-12 13:16:18.896,15.23,3.83,0.15645299572497606
create_isdp,1749701778.8974652,2025-06-12 13:16:18.897,8.98,2.21,0.12615998275578022
install_profile,1749701778.8991425,2025-06-12 13:16:18.899,21.56,11.03,0.3368949983268976
enable_profile,1749701778.9006357,2025-06-12 13:16:18.900,10.42,3.04,0.11208199430257082
install_profile,1749701778.9020777,2025-06-12 13:16:18.902,26.31,10.97,0.16119200154207647
key_establishment,1749701778.9035084,2025-06-12 13:16:18.903,21.82,6.31,0.3108640084974468
status_verification,1749701778.9045608,2025-06-12 13:16:18.904,3.74,1.45,0.08902398985810578
status_verification,1749701778.9056199,2025-06-12 13:16:18.905,3.09,1.35,0.07042998913675547
status_verification,1749701778.906669,2025-06-12 13:16:18.906,2.85,0.6,0.07986600394360721
prepare_profile,1749701779.2184162,2025-06-12 13:16:19.218,17.01,4.49,0.24535701959393919
key_establishment,1749701779.2204833,2025-06-12 13:16:19.220,19.1,5.61,0.32776501029729843
key_establishment,1749701779.2220285,2025-06-12 13:16:19.222,22.66,5.0,0.20035597844980657
register_euicc,1749701779.2233863,2025-06-12 13:16:19.223,14.0,2.92,0.16011300613172352
create_isdp,1749701779.2248597,2025-06-12 13:16:19.224,8.14,3.65,0.12464699102565646
install_profile,1749701779.226977,2025-06-12 13:16:19.226,29.8,11.24,0.7337599818129092
enable_profile,1749701779.2285032,2025-06-12 13:16:19.228,9.03,1.75,0.12321199756115675
install_profile,1749701779.2300613,2025-06-12 13:16:19.230,26.89,6.87,0.16247897292487323
key_establishment,1749701779.2315361,2025-06-12 13:16:19.231,21.83,3.27,0.3163740038871765
status_verification,1749701779.232592,2025-06-12 13:16:19.232,2.61,1.39,0.092924979981035
status_verification,1749701779.233534,2025-06-12 13:16:19.233,3.47,0.59,0.08140300633385777
status_verification,1749701779.2350798,2025-06-12 13:16:19.235,3.83,1.41,0.1471219875384122
prepare_profile,1749701779.909934,2025-06-12 13:16:19.909,16.76,8.5,0.06725298590026796
key_establishment,1749701779.9104102,2025-06-12 13:16:19.910,23.47,3.39,0.0897579884622246
key_establishment,1749701779.91077,2025-06-12 13:16:19.910,20.4,7.2,0.0433670065831393
register_euicc,1749701779.9113748,2025-06-12 13:16:19.911,12.07,4.36,0.07792600081302226
create_isdp,1749701779.911887,2025-06-12 13:16:19.911,9.19,4.11,0.05020899698138237
install_profile,1749701779.9124615,2025-06-12 13:16:19.912,23.35,11.61,0.13115801266394556
enable_profile,1749701779.9129457,2025-06-12 13:16:19.912,9.61,1.9,0.050283008022233844
install_profile,1749701779.9133992,2025-06-12 13:16:19.913,28.27,10.22,0.04274400998838246
key_establishment,1749701779.913792,2025-06-12 13:16:19.913,21.76,4.07,0.07508601993322372
status_verification,1749701779.9141748,2025-06-12 13:16:19.914,3.66,0.67,0.022328022168949246
