timestamp,vus,iterations,cpu_percent,mem_percent,memory_mb
2025-07-12T11:41:47.841Z,500,69842,7.60,21.80,2308.42
2025-07-12T11:41:50.042Z,500,70928,7.10,21.70,2322.30
2025-07-12T11:41:52.602Z,500,72196,5.80,21.70,2339.36
2025-07-12T11:41:54.987Z,500,72962,27.20,21.60,2347.98
2025-07-12T11:41:57.083Z,500,73996,5.50,21.40,2360.92
2025-07-12T11:41:59.685Z,500,75259,4.20,21.30,2392.68
2025-07-12T11:42:02.043Z,500,76410,7.10,21.30,2407.49
2025-07-12T11:42:05.117Z,500,77915,4.20,21.40,2427.18
2025-07-12T11:42:07.913Z,500,79265,4.20,21.60,2444.43
2025-07-12T11:42:10.871Z,500,80714,3.30,21.60,2466.93
2025-07-12T11:42:12.981Z,500,81746,14.30,21.70,2476.87
2025-07-12T11:42:15.420Z,500,82946,4.20,21.80,2492.62
2025-07-12T11:42:18.509Z,500,84495,4.60,21.90,2512.12
2025-07-12T11:42:21.063Z,500,85748,41.50,22.00,2528.80
2025-07-12T11:42:23.585Z,500,86991,3.80,22.20,2545.30
2025-07-12T11:42:25.589Z,500,87984,3.80,22.10,2558.43
2025-07-12T11:42:28.355Z,500,89342,5.90,22.20,2576.24
2025-07-12T11:42:31.170Z,498,90647,3.80,22.10,2588.24
2025-07-12T11:42:33.657Z,454,91480,3.80,22.20,2601.74
2025-07-12T11:42:36.042Z,418,92547,5.50,22.30,2614.87
2025-07-12T11:42:38.385Z,375,93464,5.50,22.30,2626.12
2025-07-12T11:42:40.660Z,340,94287,5.00,22.30,2636.62
2025-07-12T11:42:43.008Z,297,95049,6.30,22.30,2646.18
2025-07-12T11:42:45.673Z,255,95811,3.80,22.30,2654.99
2025-07-12T11:42:48.090Z,218,96380,4.20,22.30,2662.30
2025-07-12T11:42:50.364Z,180,96850,3.30,22.40,2668.49
2025-07-12T11:42:52.548Z,142,97211,5.00,22.30,2672.62
2025-07-12T11:42:54.761Z,108,97496,3.30,22.40,2676.55
2025-07-12T11:42:57.688Z,57,97760,3.30,22.50,2679.18
2025-07-12T11:42:59.749Z,19,97858,4.20,22.50,2679.37
